description,protein_g,fat_g,carbs_g,energy_kcal,sugars_g,fiber_g,sodium_mg,potassium_mg,cholesterol_mg,protein_ratio,fat_ratio,carb_ratio,sugar_ratio,fiber_density,sodium_density,processed_level,health_label
"FRESH JICAMA STICKS WITH SRIRACHA SEASONING, SRIRACHA",0.88,0.0,9.73,40.0,1.77,5.3,283.0,124.0,0.0,0.022,0.0,0.24325000000000002,0.18191161356628982,0.5447070914696813,7.075,2,Unhealthy
"CAPPUCCINO DRINK MIX, PUMPKIN SPICE",0.0,30.0,60.0,533.0,33.33,0.0,1067.0,0.0,0.0,0.0,0.05628517823639775,0.1125703564727955,0.5555,0.0,2.0018761726078798,2,Unhealthy
GOURMET CARAMEL CORN,3.57,5.36,89.29,400.0,50.0,7.1,293.0,0.0,0.0,0.008924999999999999,0.0134,0.223225,0.5599731212901781,0.07951618322320528,0.7325,2,Moderate
"SALMON, SHRIMP & SCALLOPS",7.0,5.0,15.0,130.0,1.0,1.0,470.0,45.0,30.0,0.05384615384615385,0.038461538461538464,0.11538461538461539,0.06666666666666667,0.06666666666666667,3.6153846153846154,2,Unhealthy
"BUTTER COOKIES, BUTTER",5.88,17.65,67.65,441.0,29.41,2.9,235.0,206.0,59.0,0.013333333333333332,0.04002267573696145,0.1534013605442177,0.4347376201034737,0.042867701404286765,0.5328798185941043,2,Moderate
"SPECIALTY, SALSA VERDE MILD SALSA, SALSA VERDE",0.0,0.0,3.12,16.0,3.12,0.0,297.0,125.0,0.0,0.0,0.0,0.195,1.0,0.0,18.5625,2,Unhealthy
APPLE-CINNAMON FLAVORED CEREAL,0.0,0.0,92.0,400.0,36.0,4.0,80.0,0.0,0.0,0.0,0.0,0.23,0.391304347826087,0.043478260869565216,0.2,2,Healthy
"HICKORY WOOD SMOKED BACON, HICKORY WOOD SMOKED",33.33,33.33,0.0,500.0,0.0,0.0,1778.0,522.0,111.0,0.06666,0.06666,0.0,0.0,0.0,3.556,1,Unhealthy
ARTICHOKE HEARTS,2.92,0.42,11.25,58.0,0.83,5.8,296.0,286.0,0.0,0.0503448275862069,0.007241379310344827,0.1939655172413793,0.07377777777777778,0.5155555555555555,5.103448275862069,1,Moderate
Kashi Organic Cereal Cinnamon Harvest 52oz,11.0,1.4,78.9,333.0,15.0,10.7,2.0,316.0,0.0,0.03303303303303303,0.004204204204204204,0.23693693693693696,0.19011406844106463,0.1356147021546261,0.006006006006006006,2,Healthy
WILD COCOA POWDER,41.67,16.67,83.33,417.0,0.0,66.7,33.0,3667.0,0.0,0.09992805755395684,0.03997601918465228,0.19983213429256594,0.0,0.8004320172806912,0.07913669064748201,1,Healthy
Old El Paso Traditional Refried Beans Canned 16-Ounce,3.68,0.43,10.85,62.0,0.47,5.1,368.0,629.0,0.0,0.05935483870967742,0.006935483870967742,0.175,0.04331797235023041,0.4700460829493087,5.935483870967742,2,Moderate
ORGANIC CHICKEN BONE BROTH,3.67,0.0,0.0,16.0,0.0,0.0,39.0,53.0,2.0,0.229375,0.0,0.0,0.0,0.0,2.4375,2,Healthy
100% COCONUT WATER JUICE,0.0,0.0,170.0,700.0,140.0,0.0,900.0,3900.0,0.0,0.0,0.0,0.24285714285714285,0.8235294117647058,0.0,1.2857142857142858,1,Unhealthy
"BUTTERMILK PANCAKES, BUTTERMILK",5.13,2.56,42.74,222.0,10.26,0.9,350.0,77.0,4.0,0.023108108108108108,0.011531531531531532,0.19252252252252253,0.24005615348619558,0.02105755732335049,1.5765765765765767,2,Moderate
"Late July Sea Salt & Lime Organic Tortilla Chips, 10.1 Oz Bag",7.14,25.0,57.14,464.0,0.0,3.6,250.0,0.0,0.0,0.015387931034482757,0.05387931034482758,0.12314655172413794,0.0,0.06300315015750788,0.5387931034482759,1,Healthy
SNOWBALLS COVERED IN VANILLA FLAVORED CREME MALTED MILK BALLS,3.33,16.67,76.67,467.0,66.67,0.0,150.0,300.0,0.0,0.0071306209850107065,0.03569593147751606,0.16417558886509637,0.8695708882222513,0.0,0.32119914346895073,2,Unhealthy
"TRUFFLES IN MILK, DARK & WHITE CHOCOLATE, DARK CHOCOLATE, MILK CHOCOLATE, WHITE CHOCOLATE",6.25,28.12,53.12,469.0,50.0,3.1,78.0,312.0,16.0,0.013326226012793176,0.05995735607675906,0.11326226012793177,0.9412650602409639,0.05835843373493976,0.16631130063965885,2,Unhealthy
"PECAN SHORTBREAD COOKIES, PECAN SHORTBREAD",6.45,32.26,58.06,548.0,22.58,3.2,355.0,65.0,16.0,0.01177007299270073,0.058868613138686125,0.10594890510948905,0.38890802617981396,0.05511539786427833,0.6478102189781022,2,Moderate
"APPLE & BANANA SMOOTHIE WITH BUTTERNUT SQUASH, DATE & OATS",1.11,0.0,15.56,67.0,10.0,2.2,0.0,200.0,0.0,0.01656716417910448,0.0,0.23223880597014926,0.6426735218508998,0.14138817480719795,0.0,2,Moderate
"GREEN GODDESS AVOCADO OIL DRESSING & MARINADE, GREEN GODDESS",0.0,40.0,3.33,400.0,0.0,0.0,600.0,0.0,0.0,0.0,0.1,0.008325,0.0,0.0,1.5,2,Moderate
COCONUT WATER + PASSION FRUIT,0.0,0.0,4.58,19.0,4.17,0.0,15.0,238.0,0.0,0.0,0.0,0.24105263157894738,0.9104803493449781,0.0,0.7894736842105263,1,Unhealthy
